1,Cherilyn,refrigerado,liquida,842154
2,Merralee,normal,gas,7665508
3,Charlotte,inflamable,solida,9138424
4,Johan,normal,solida,6423622
5,Renie,inflamable,liquida,2423397
6,Griselda,normal,solida,96277
7,Pietro,inflamable,solida,9133761
8,Cornie,normal,gas,127935
9,Dory,refrigerado,solida,4018009
10,Mara,normal,gas,4951271
11,Margalo,normal,solida,679047
12,Rosemonde,normal,liquida,8068182
13,Obie,normal,liquida,8938371
14,Morly,inflamable,liquida,7873764
15,Darcy,inflamable,gas,270066
16,Kelsi,refrigerado,solida,6367042
17,Naoma,normal,solida,3208841
18,Bettina,refrigerado,liquida,846544
19,Natividad,refrigerado,solida,6079835
20,Joyce,refrigerado,solida,9068950
21,Leon,normal,liquida,6607636
22,Khalil,normal,solida,9446071
23,Trev,inflamable,liquida,3896525
24,Hobard,normal,liquida,5866226
25,Merrily,refrigerado,solida,5096604
26,Dorena,inflamable,liquida,6810331
27,Alberto,refrigerado,liquida,5247484
28,Marthe,inflamable,liquida,3393973
29,Ferris,refrigerado,liquida,4639838
30,Cathlene,refrigerado,liquida,4365179
31,Rebeca,inflamable,solida,2385626
32,Kit,refrigerado,gas,5684023
33,Jeremias,normal,gas,3379152
34,Humphrey,inflamable,solida,6415313
35,Addy,inflamable,solida,7022102
36,Everard,refrigerado,solida,4393772
37,Loni,normal,gas,9449434
38,Giovanna,refrigerado,solida,9168894
39,Catarina,normal,gas,8408689
40,Bridie,inflamable,gas,1561771
